Distance,X,Y,Z
1.019803902718557,0.2,0.0,1.0
1.0198017237085906,0.1999888888888889,0.0,1.0
1.0197951873771178,0.1999555555555555,0.0,1.0
1.0197842959752668,0.19990000079471798,0.0,1.0
1.019769052247751,0.19982222079172993,0.0,1.0
1.019749462392299,0.1997222222222223,0.0,1.0
1.0197255316995844,0.1996000000000001,0.0,1.0
1.0196972681349967,0.1994555555555556,0.0,1.0
1.0196646812483117,0.19928889127304286,0.0,1.0
1.0196277806515763,0.19910000270207992,0.0,1.0
1.0195865792208152,0.1988888949287456,0.0,1.0
1.0195410884707026,0.19865555889346664,0.0,1.0
1.0194913248534796,0.19840000365575514,0.0,1.0
1.019437303866142,0.19812222619586908,0.0,1.0
1.0193790429982854,0.1978222265137608,0.0,1.0
1.019316561143865,0.19750000460943035,0.0,1.0
1.0192498786023725,0.1971555604828776,0.0,1.0
1.0191790170801078,0.19678889413410264,0.0,1.0
1.0191040007646321,0.1964000111260519,0.0,1.0
1.019024849828453,0.1959888888888889,0.0,1.0
1.018941596822727,0.1955555617543559,0.0,1.0
1.0188542646255683,0.1951000065167807,0.0,1.0
1.0187628831314086,0.19462222905689475,0.0,1.0
1.0186674838833296,0.19412223652714605,0.0,1.0
1.0185680958054013,0.19360001494091197,0.0,1.0
1.0184647546991994,0.1930555789202644,0.0,1.0
1.0183574905680572,0.19248890510159966,0.0,1.0
1.0182463437085993,0.1919000168482624,0.0,1.0
1.0181313499306754,0.1912889063729347,0.0,1.0
1.0180125479504474,0.1906555736753849,0.0,1.0
1.0178899779146064,0.1900000187556129,0.0,1.0
1.0177636814026583,0.18932224161361857,0.0,1.0
1.0176337014293146,0.18862224224940205,0.0,1.0
1.017500084358308,0.1879000309940015,0.0,1.0
1.0173628683853466,0.18715556620523366,0.0,1.0
1.0172221124681042,0.18638891082310532,0.0,1.0
1.017077857587761,0.18560002257031366,0.0,1.0
1.0169301559357196,0.18478891209498605,0.0,1.0
1.0167790613530188,0.18395559131786499,0.0,1.0
1.0166246226980589,0.18310003671649622,0.0,1.0
1.0164668989292864,0.18222227244839895,0.0,1.0
1.016305939327415,0.18132226084662137,0.0,1.0
1.0161418081719267,0.18040003957752188,0.0,1.0
1.0159745621834873,0.17945559608675268,0.0,1.0
1.0158042618067837,0.1784889303737612,0.0,1.0
1.0156309689579,0.17750004243854756,0.0,1.0
1.0154547470272945,0.17648893228111168,0.0,1.0
1.0152756608829079,0.1754555999014536,0.0,1.0
1.0150937794750206,0.17440006039856695,0.0,1.0
1.014909160189999,0.1733222530586034,0.0,1.0
1.014721888074517,0.17222226942847058,0.0,1.0
1.0145320234142718,0.1711000481605989,0.0,1.0
1.014339641152462,0.16995560466982962,0.0,1.0
1.0141448178753876,0.16878895564519977,0.0,1.0
1.013947623342507,0.1676000680288328,0.0,1.0
1.013748139960993,0.16638897551314932,0.0,1.0
1.0135464374791194,0.16515562612853177,0.0,1.0
1.0133426042746532,0.16390007184353367,0.0,1.0
1.0131367188251414,0.16262229533732284,0.0,1.0
1.0129288639768306,0.16132229660888983,0.0,1.0
1.012719124095203,0.1600000756582345,0.0,1.0
1.0125075850679788,0.15865563248535705,0.0,1.0
1.012294334308252,0.15728896709025733,0.0,1.0
1.0120794638311772,0.1559000993397482,0.0,1.0
1.011863051793719,0.15448894944899827,0.0,1.0
1.0116452087105092,0.1530556375704517,0.0,1.0
1.0114260157674866,0.1516000832876364,0.0,1.0
