Timestamp,Distance,DirectionX,DirectionY,DirectionZ
1723624574.955,2.0584247,0.25320673,-0.29299757,2.0216696
1723624574.997,2.060793,0.24260274,-0.28782907,2.026121
1723624575.028,2.061911,0.24481714,-0.2829265,2.027682
1723624575.061,2.062919,0.23548952,-0.2761625,2.0307422
1723624575.078,2.0634236,0.22620374,-0.285373,2.0310369
1723624575.113,2.0638907,0.22242144,-0.29283255,2.0308676
1723624575.146,2.0646114,0.22383702,-0.28792,2.0321465
1723624575.18,2.0660007,0.2327005,-0.27464056,2.0343993
1723624575.213,2.0672936,0.23208596,-0.26280832,2.037344
1723624575.246,2.0679777,0.2311187,-0.26131538,2.03834
1723624575.279,2.068548,0.23790671,-0.2600151,2.0383039
1723624575.313,2.0692844,0.24069911,-0.2562695,2.0391974
1723624575.347,2.0751135,0.2407965,-0.25964063,2.044676
1723624575.381,2.0767152,0.24564393,-0.25451717,2.0463686
1723624575.412,2.0786273,0.24962534,-0.24511816,2.0489743
1723624575.447,2.080243,0.2525063,-0.24632978,2.050115
1723624575.479,2.0818179,0.2554839,-0.24715793,2.051245
1723624575.513,2.0834215,0.2607326,-0.2467555,2.0522614
1723624575.563,2.0852263,0.2682973,-0.24360941,2.053494
1723624575.596,2.0870495,0.27709618,-0.23802635,2.0548325
1723624575.63,2.0887983,0.28305605,-0.23601396,2.0560293
1723624575.646,2.09078,0.2904668,-0.23026927,2.0576603
1723624575.678,2.0927374,0.29705638,-0.22507454,2.059284
1723624575.713,2.094874,0.30095392,-0.2198258,2.061456
1723624575.745,2.0971174,0.30961052,-0.2123622,2.0632365
1723624575.778,2.0991175,0.31691486,-0.2065869,2.0647469
1723624575.811,2.1012266,0.31437865,-0.20405573,2.0675304
1723624575.846,2.1032817,0.31650898,-0.20292889,2.0694048
1723624575.879,2.105142,0.31906235,-0.20230658,2.0709648
1723624575.911,2.106991,0.31579864,-0.20616181,2.072964
1723624575.948,2.1087039,0.3141255,-0.211635,2.0744073
1723624575.978,2.1103046,0.31248674,-0.21274412,2.0761688
1723624576.012,2.1119685,0.3079715,-0.217058,2.0780883
