Event,Time,X Coordinate
Start leaving,1709457721.2713475,0
Finish leaving,1709457727.4327395,40008
Start coming back,1709457731.437079,40008
Finish coming back,1709457737.5988946,-3
Start leaving,1709457741.603259,-3
Finish leaving,1709457747.7755861,40008
Start coming back,1709457751.7794828,40008
Finish coming back,1709457757.9542208,-3
Start leaving,1709457761.9585848,-3
Finish leaving,1709457768.1370914,40008
Start coming back,1709457772.1414406,40008
Finish coming back,1709457778.317527,-3
Start leaving,1709457782.3218756,-3
Finish leaving,1709457788.4982753,40008
Start coming back,1709457792.5026395,40008
Finish coming back,1709457798.6789482,-3
Start leaving,1709457802.68331,-3
Finish leaving,1709457808.8636148,40008
Start coming back,1709457812.8679712,40008
Finish coming back,1709457819.0452948,-3
