Event,Time,X Coordinate
Start leaving,1709617268.894474,0
Finish leaving,1709617275.0686078,40008
Start coming back,1709617279.0728028,40008
Finish coming back,1709617285.2939255,3
Start leaving,1709617289.3011138,3
Finish leaving,1709617295.4997416,40008
Start coming back,1709617299.504243,40008
Finish coming back,1709617305.684081,3
Start leaving,1709617309.6885347,3
Finish leaving,1709617315.9382772,40004
Start coming back,1709617319.9407873,40004
Finish coming back,1709617326.098282,3
Start leaving,1709617330.1008208,3
Finish leaving,1709617336.273729,40008
Start coming back,1709617340.2779708,40008
Finish coming back,1709617346.4487529,3
Start leaving,1709617350.4530997,3
Finish leaving,1709617356.6095116,40008
Start coming back,1709617360.6138792,40008
Finish coming back,1709617366.779236,3
