Timestamp,Distance,DirectionX,DirectionY,DirectionZ
1709617229.519,1.0156132,0.07324328,0.097542964,1.0082613
1709617229.5349998,1.0156522,0.07481716,0.09493381,1.008434
1709617229.552,1.0157007,0.07449623,0.09507406,1.0084935
1709617229.569,1.0157555,0.07413489,0.095199294,1.0085635
1709617229.585,1.01575,0.073772,0.09527308,1.0085777
1709617229.602,1.0156325,0.07385828,0.09531854,1.0084486
1709617229.618,1.0155587,0.07367278,0.09533733,1.0083861
1709617229.6360002,1.015501,0.073418014,0.09534606,1.0083458
1709617229.652,1.0154356,0.0731761,0.095320985,1.0082998
1709617229.6690001,1.0153642,0.072968856,0.09523462,1.0082512
1709617229.685,1.0152444,0.072800696,0.0950746,1.0081577
1709617229.7020001,1.0148901,0.07319884,0.09480741,1.0077972
1709617229.7189999,1.0146573,0.07324603,0.09456997,1.0075817
1709617229.7350001,1.0144784,0.07320361,0.09436943,1.0074235
1709617229.7519999,1.0143675,0.0731559,0.09420628,1.0073305
1709617229.769,1.0143049,0.07312933,0.09406085,1.007283
1709617229.787,1.0142328,0.073104985,0.09392245,1.007225
1709617229.802,1.0141095,0.07330841,0.09393756,1.0070847
1709617229.819,1.0139772,0.07344833,0.094004214,1.0069351
1709617229.836,1.0139086,0.07334176,0.09403295,1.0068711
1709617229.852,1.0138985,0.0731584,0.09406709,1.0068711
1709617229.868,1.0139089,0.07298589,0.09407313,1.0068934
1709617229.885,1.0139083,0.07281696,0.094068006,1.0069056
1709617229.902,1.0138466,0.07337492,0.09422447,1.0067884
1709617229.918,1.0138376,0.07346502,0.09432372,1.0067635
1709617229.935,1.013857,0.07348335,0.09433298,1.0067807
1709617229.9520001,1.0138425,0.073513225,0.094254434,1.0067713
1709617229.9689999,1.0137581,0.07378891,0.0940682,1.0066835
1709617229.986,1.0137072,0.07382226,0.09403133,1.0066333
1709617230.003,1.0137403,0.07374844,0.094078496,1.0066676
1709617230.02,1.0138088,0.07366156,0.09415147,1.0067362
1709617230.037,1.0138831,0.0735742,0.09424776,1.0068084
1709617230.053,1.013978,0.073450014,0.094394766,1.0068992
1709617230.0700002,1.0140983,0.073283635,0.094622016,1.0070112
1709617230.087,1.0142279,0.073527634,0.094562136,1.0071295
1709617230.104,1.0144113,0.07353149,0.09475421,1.007296
1709617230.12,1.0146136,0.07349962,0.09504745,1.0074743
1709617230.137,1.014867,0.073409796,0.09548392,1.0076947
1709617230.1529999,1.0152032,0.073220514,0.09610132,1.0079886
1709617230.17,1.0155922,0.07293528,0.09685921,1.0083284
1709617230.187,1.0155855,0.073748015,0.097502604,1.0082006
1709617230.204,1.0158333,0.07369475,0.09833324,1.0083734
1709617230.22,1.0161679,0.07332443,0.099328525,1.0086399
1709617230.237,1.0164932,0.07290258,0.100443766,1.0088878
1709617230.254,1.0167437,0.072545014,0.101590164,1.0090512
1709617230.271,1.0169256,0.07221253,0.10273526,1.0091425
1709617230.287,1.017123,0.07178525,0.10397883,1.0092444
1709617230.304,1.0172915,0.07146822,0.105508216,1.0092782
1709617230.321,1.0176623,0.07095234,0.107149854,1.0095153
1709617230.337,1.0180353,0.07042879,0.10887056,1.0097439
1709617230.354,1.01833,0.06983,0.11068017,1.0098859
1709617230.371,1.018509,0.0690302,0.11258748,1.0099106
1709617230.388,1.0185905,0.06802437,0.11461681,1.0098327
1709617230.405,1.0183934,0.06725867,0.11698507,1.0094137
1709617230.421,1.0181731,0.06651938,0.11963027,1.0089302
1709617230.438,1.0183271,0.06528589,0.12229117,1.0088472
1709617230.454,1.018605,0.06378845,0.12504248,1.0088863
1709617230.471,1.01889,0.06211498,0.12785761,1.0089257
1709617230.488,1.0191926,0.060240433,0.13078752,1.0089693
1709617230.505,1.0200596,0.058957845,0.13368887,1.0095409
1709617230.521,1.0205467,0.05691068,0.13680184,1.0097336
1709617230.538,1.0209215,0.0544193,0.14003623,1.0098064
1709617230.5549998,1.0212741,0.0515294,0.14337578,1.009846
1709617230.572,1.0217429,0.048339777,0.1468211,1.009983
1709617230.5879998,1.022344,0.045039695,0.1503396,1.0102261
1709617230.606,1.0228419,0.042815413,0.15375015,1.0103135
1709617230.622,1.0233456,0.03977533,0.15719405,1.0104178
1709617230.639,1.023819,0.036404647,0.16065878,1.0104795
1709617230.655,1.0243256,0.032904327,0.16415703,1.0105506
1709617230.672,1.0249466,0.029255643,0.16771504,1.0107083
1709617230.6890001,1.0257598,0.025415372,0.17136729,1.0110245
1709617230.705,1.0263618,0.02235204,0.17527473,1.011038
1709617230.7220001,1.0272207,0.018666692,0.1790756,1.0113189
1709617230.7389998,1.0281454,0.014779955,0.18281397,1.0116539
1709617230.756,1.0290586,0.010776088,0.18649462,1.0119611
1709617230.7719998,1.0300236,0.006688744,0.19014858,1.012298
1709617230.789,1.0311513,0.0025429502,0.19385818,1.0127614
1709617230.806,1.032578,-0.00084389746,0.19773215,1.0134686
1709617230.822,1.0339134,-0.004708588,0.20151152,1.0140748
1709617230.839,1.0352004,-0.008701235,0.20519431,1.0146228
1709617230.855,1.0364813,-0.012674406,0.20881502,1.0151498
1709617230.872,1.0378212,-0.016585141,0.21242803,1.0157126
1709617230.888,1.0392803,-0.020426564,0.216056,1.0163691
1709617230.905,1.0411593,-0.02354303,0.21990581,1.0173985
1709617230.922,1.0428016,-0.027006358,0.22349122,1.0182129
1709617230.9390001,1.0443705,-0.030513167,0.22694255,1.0189582
1709617230.955,1.0459561,-0.033959016,0.23030883,1.01972
1709617230.9720001,1.047563,-0.037314676,0.23359634,1.0205041
1709617230.9889998,1.0491978,-0.04056807,0.23680925,1.0213186
1709617231.007,1.0506138,-0.043436915,0.24011268,1.0218847
1709617231.023,1.0522406,-0.046377048,0.2432341,1.0226909
1709617231.04,1.0539657,-0.04924211,0.24623308,1.0236152
1709617231.0570002,1.0557805,-0.05197873,0.24913909,1.0246464
1709617231.074,1.0576072,-0.054547243,0.25195467,1.0257077
1709617231.0900002,1.059417,-0.056942217,0.25467357,1.0267732
1709617231.108,1.0604801,-0.059499703,0.257904,1.0269194
1709617231.1230001,1.0620309,-0.0617313,0.26064166,1.0276989
1709617231.1430001,1.0636599,-0.063780256,0.26312372,1.0286255
1709617231.157,1.0652126,-0.0656706,0.26540008,1.0295281
1709617231.175,1.0666444,-0.067363076,0.2674608,1.0303675
1709617231.19,1.0679537,-0.068852924,0.26932287,1.03114
1709617231.208,1.0683225,-0.070980884,0.27208108,1.0306535
1709617231.224,1.0691414,-0.07244971,0.27398375,1.0308963
1709617231.2410002,1.0699717,-0.07363703,0.2754493,1.031283
1709617231.257,1.0707096,-0.074608676,0.2766422,1.0316596
1709617231.2740002,1.0713584,-0.075312935,0.27766812,1.0320065
1709617231.291,1.0719283,-0.07570887,0.27856642,1.032327
1709617231.308,1.0715214,-0.07662877,0.28064507,1.0312732
1709617231.324,1.0716364,-0.0767036,0.28176618,1.0310814
1709617231.341,1.0718408,-0.07628579,0.28251958,1.0311188
1709617231.358,1.0720012,-0.07542061,0.2831198,1.0311846
1709617231.375,1.0708317,-0.07530234,0.28490597,1.0294846
1709617231.391,1.0702435,-0.07390366,0.28571767,1.0287491
1709617231.408,1.0697074,-0.0717841,0.28612226,1.0282291
1709617231.425,1.0691227,-0.069199644,0.2863261,1.0277412
1709617231.442,1.0684329,-0.06624807,0.28637803,1.0272038
1709617231.458,1.0675932,-0.062935926,0.2862782,1.0265666
1709617231.475,1.0659689,-0.059108682,0.28616667,1.0251364
1709617231.492,1.0646653,-0.055027254,0.28588906,1.0240858
1709617231.508,1.0634041,-0.050642215,0.28554857,1.0230961
1709617231.525,1.0621477,-0.045981273,0.28521055,1.0221049
1709617231.546,1.0609531,-0.041076683,0.28493714,1.0211489
1709617231.56,1.0598891,-0.03592983,0.2847692,1.0202844
1709617231.575,1.0584962,-0.02980806,0.2840923,1.0192239
1709617231.593,1.0574794,-0.023961827,0.28387833,1.0183818
1709617231.609,1.056582,-0.018135898,0.2838348,1.0175827
1709617231.625,1.0557652,-0.0122401565,0.28388768,1.0168078
1709617231.642,1.0550307,-0.006208569,0.2840184,1.0160633
