Timestamp,Distance,DirectionX,DirectionY,DirectionZ
1710215508.3330002,0.93783,0.01613792,0.05519919,0.93606496
1710215508.349,0.9386608,0.014872255,0.055040568,0.9369277
1710215508.3660002,0.9388338,0.014912225,0.05519781,0.93709105
1710215508.382,0.9389905,0.014946442,0.05537131,0.93723726
1710215508.4,0.93913037,0.014962429,0.055547565,0.9373667
1710215508.416,0.939362,0.014883338,0.055647004,0.9375942
1710215508.433,0.9395696,0.014802692,0.055782024,0.9377954
1710215508.449,0.9397979,0.014704432,0.05593014,0.93801683
1710215508.466,0.9400657,0.014596611,0.056080572,0.9382779
1710215508.483,0.94034505,0.014501596,0.056218207,0.93855107
1710215508.5,0.94058216,0.014442088,0.056338053,0.93878233
1710215508.516,0.94077444,0.0140951015,0.056157436,0.93899107
1710215508.533,0.94090915,0.013989359,0.05614512,0.93912834
1710215508.5500002,0.9410335,0.013959015,0.056168906,0.93925196
1710215508.566,0.94119686,0.013960689,0.056193106,0.93941414
1710215508.585,0.9414216,0.014000734,0.056217413,0.9396373
1710215508.6,0.94165915,0.014073556,0.056246724,0.93987244
1710215508.618,0.9418591,0.014137039,0.056288328,0.9400693
1710215508.634,0.94202757,0.014171874,0.056339975,0.9402345
1710215508.65,0.9421479,0.014073325,0.056264274,0.9403611
1710215508.667,0.942267,0.013973055,0.056148272,0.9404888
1710215508.685,0.94240177,0.014017008,0.05612498,0.9406246
1710215508.7,0.94250053,0.014120802,0.056126587,0.94072187
1710215508.719,0.94258267,0.014222136,0.0561321,0.94080234
1710215508.7340002,0.9426932,0.014309974,0.05613124,0.94091177
1710215508.751,0.9429076,0.014351616,0.05621781,0.94112074
1710215508.7670002,0.94312704,0.014389696,0.05633592,0.941333
1710215508.786,0.9432424,0.014486337,0.056392733,0.9414437
1710215508.8000002,0.94329375,0.014634967,0.056423347,0.941491
1710215508.818,0.94329435,0.014813747,0.056433562,0.9414882
1710215508.834,0.9432688,0.014995547,0.056443624,0.9414591
1710215508.851,0.9434343,0.015311874,0.056346513,0.94162565
1710215508.868,0.9435224,0.015575087,0.056328196,0.9417107
1710215508.8860002,0.9435978,0.015856253,0.05633734,0.94178104
1710215508.901,0.9436505,0.016145943,0.05637368,0.9418267
1710215508.9180002,0.943973,0.01628724,0.056689132,0.9421285
1710215508.934,0.94411147,0.016508,0.056923002,0.9422493
1710215508.9510002,0.9442379,0.016743524,0.057200965,0.942355
1710215508.968,0.94437885,0.016969543,0.05758985,0.9424685
1710215508.986,0.94453543,0.017149942,0.05817347,0.9425863
1710215509.001,0.94470495,0.01723258,0.059047338,0.9427003
1710215509.019,0.9448923,0.017132511,0.060310278,0.94280994
1710215509.0370002,0.94508857,0.016775014,0.06204743,0.94290036
1710215509.053,0.94544774,0.015641598,0.06460199,0.9431084
1710215509.069,0.9457256,0.014391841,0.06760975,0.943196
1710215509.087,0.9460537,0.012796497,0.07124311,0.9432806
1710215509.102,0.9465582,0.010872508,0.07552005,0.9434781
1710215509.119,0.94736,0.008727049,0.08043294,0.94389904
1710215509.135,0.9484917,0.0064195343,0.08597748,0.94456506
1710215509.152,0.9500049,0.0038288855,0.092041045,0.9455279
1710215509.1690001,0.95177263,0.0010422438,0.09863563,0.9466472
1710215509.1859999,0.95354486,-0.0018817573,0.10575885,0.9476599
1710215509.2020001,0.955428,-0.0049915644,0.11327587,0.94867605
1710215509.219,0.9579173,-0.008401865,0.120839715,0.9502277
1710215509.236,0.9603653,-0.011795988,0.12877187,0.95161974
1710215509.252,0.9629144,-0.015257839,0.13690996,0.9530094
1710215509.269,0.9656826,-0.018806925,0.14523557,0.95451343
1710215509.286,0.96874696,-0.02240687,0.15367977,0.9562171
1710215509.303,0.9720633,-0.026018102,0.1621318,0.95809364
1710215509.319,0.9755889,-0.029680895,0.17051628,0.960113
1710215509.336,0.979356,-0.033411212,0.17878473,0.962319
1710215509.3530002,0.9834066,-0.037153352,0.18686934,0.96477354
1710215509.369,0.9876846,-0.04085224,0.19473195,0.9674355
1710215509.3860002,0.99208885,-0.044501778,0.20239282,0.97020465
1710215509.4029999,0.9965696,-0.04811506,0.20985909,0.9730339
1710215509.42,1.0018146,-0.051522695,0.2168946,0.97669584
1710215509.4359999,1.0066915,-0.054839,0.22379455,0.9799675
1710215509.453,1.0114293,-0.058038317,0.23044549,0.98311526
1710215509.47,1.0161055,-0.061175525,0.23682529,0.986226
1710215509.486,1.0207772,-0.06429036,0.24292055,0.9893647
1710215509.503,1.0255022,-0.06733136,0.24871597,0.9926034
1710215509.52,1.030499,-0.07043833,0.254325,0.9961352
1710215509.5370002,1.0351986,-0.073219284,0.2595992,0.99944144
1710215509.554,1.0396568,-0.07581581,0.26460174,1.0025587
1710215509.5700002,1.0439799,-0.07834162,0.26933536,1.0055919
1710215509.587,1.0482502,-0.08082033,0.27378368,1.0086323
1710215509.604,1.052406,-0.08315711,0.2779263,1.0116324
1710215509.62,1.0562799,-0.08527344,0.28174746,1.0144329
1710215509.637,1.0598087,-0.08801494,0.28576675,1.0167524
1710215509.654,1.0631243,-0.09005263,0.28917974,1.0190676
1710215509.67,1.0663127,-0.09175851,0.29223183,1.0213734
1710215509.687,1.0693408,-0.09320309,0.29498586,1.0236143
1710215509.704,1.0721197,-0.09435338,0.29745302,1.0256997
1710215509.72,1.075019,-0.096131824,0.3003422,1.0277252
1710215509.738,1.077312,-0.09729847,0.30255568,1.0293659
1710215509.7540002,1.0792457,-0.098338805,0.30443642,1.0307373
1710215509.771,1.0810269,-0.099374115,0.30609992,1.032011
1710215509.788,1.0827923,-0.10033829,0.30755603,1.0333347
1710215509.804,1.084559,-0.10113455,0.30880773,1.0347356
1710215509.821,1.0864047,-0.101936154,0.31065983,1.0360379
1710215509.838,1.0880024,-0.10251645,0.31185657,1.0372971
1710215509.855,1.0894305,-0.10305699,0.31276187,1.0384691
1710215509.871,1.090759,-0.10356118,0.31345862,1.0396028
1710215509.888,1.0919836,-0.10392159,0.3139658,1.0406988
1710215509.904,1.0929831,-0.10405536,0.3143125,1.0416296
1710215509.921,1.0936393,-0.1039168,0.31454176,1.0422627
1710215509.9380002,1.0927889,-0.103995375,0.31528306,1.0411384
1710215509.955,1.0924065,-0.10326178,0.3154489,1.0407598
1710215509.9710002,1.092094,-0.1018718,0.3153065,1.0406119
1710215509.988,1.091699,-0.09987133,0.3149951,1.0404857
1710215510.005,1.0910976,-0.09728556,0.3146149,1.0402149
1710215510.023,1.0892174,-0.09455479,0.31482092,1.0384324
1710215510.04,1.087848,-0.09098393,0.31470388,1.0373507
1710215510.056,1.0866475,-0.0866622,0.31449762,1.0365249
1710215510.073,1.0855588,-0.08158366,0.31426066,1.0358678
1710215510.0900002,1.0845833,-0.07582963,0.3140464,1.035348
1710215510.105,1.0837275,-0.06954209,0.31391615,1.0349327
1710215510.1220002,1.0816776,-0.06316251,0.3140544,1.0331538
1710215510.139,1.0806531,-0.056218125,0.3141751,1.0324459
1710215510.1560001,1.0800589,-0.048796408,0.31433475,1.032153
1710215510.172,1.0796332,-0.04092069,0.31452033,1.0319935
1710215510.1890001,1.0793334,-0.03268527,0.3147244,1.0319114
1710215510.206,1.079196,-0.024169987,0.31494075,1.031936
1710215510.223,1.0792198,-0.0154500175,0.31520316,1.0320483
1710215510.239,1.0782205,-0.006788272,0.31563047,1.0309659
1710215510.256,1.078108,0.0021538455,0.316034,1.0307447
1710215510.273,1.0784402,0.0112674665,0.3164146,1.0309162
1710215510.29,1.0791374,0.020476079,0.31676742,1.0313956
1710215510.306,1.0801952,0.029791614,0.31710735,1.032171
1710215510.323,1.0816369,0.039226577,0.31745806,1.033257
1710215510.339,1.0824279,0.048629783,0.31804055,1.0335064
1710215510.356,1.0843787,0.05814346,0.31849077,1.0349203
1710215510.3730001,1.0869927,0.06765769,0.3188801,1.0369624
1710215510.3899999,1.0900464,0.07707216,0.31924224,1.0393966
1710215510.4060001,1.0934142,0.08630671,0.31958488,1.0420994
1710215510.423,1.0970342,0.09532862,0.3199053,1.0450153
1710215510.44,1.1011332,0.10439145,0.32022637,1.0483567
1710215510.457,1.1052262,0.113077305,0.32047677,1.051681
1710215510.473,1.1093935,0.12143139,0.32064232,1.0550814
1710215510.49,1.1136225,0.12943844,0.32072136,1.058555
1710215510.507,1.1178858,0.13712423,0.32071042,1.0620785
1710215510.523,1.1221176,0.14450438,0.32060733,1.0655878
1710215510.54,1.1263599,0.1521148,0.3206176,1.068996
